ID,Prompt_EN,Prompt,Prompt_python,Prompt_tikz
s_3_3_FA,There is a triangle in the upper left corner of a square.,یک مثلث در گوشه سمت چپ بالای یک مربع وجود دارد.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک مثلث در گوشه سمت چپ بالای یک مربع وجود دارد. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک مثلث در گوشه سمت چپ بالای یک مربع وجود دارد. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
sa_2_1_FA,"A big circle is inside a circle, and a small circle is outside of the circle.",یک دایره بزرگ در داخل یک دایره قرار دارد و یک دایره کوچک در خارج از دایره است.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک دایره بزرگ در داخل یک دایره قرار دارد و یک دایره کوچک در خارج از دایره است. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک دایره بزرگ در داخل یک دایره قرار دارد و یک دایره کوچک در خارج از دایره است. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
sa_3_4_FA,"In a bar chart, a grey bar is to the right of a green bar, and the leftmost bar is the shortest in the chart.",در یک نمودار میله ای، یک میله خاکستری در سمت راست یک میله سبز قرار دارد و سمت چپ ترین میله، کوتاه ترین در نمودار است.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: در یک نمودار میله ای، یک میله خاکستری در سمت راست یک میله سبز قرار دارد و سمت چپ ترین میله، کوتاه ترین در نمودار است. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: در یک نمودار میله ای، یک میله خاکستری در سمت راست یک میله سبز قرار دارد و سمت چپ ترین میله، کوتاه ترین در نمودار است. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
sa_8_4_FA,The intersection of the pentagon and the trapezoid is filled with blue.,اشتراک پنج ضلعی و ذوزنقه با رنگ آبی پر شده است.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: اشتراک پنج ضلعی و ذوزنقه با رنگ آبی پر شده است. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: اشتراک پنج ضلعی و ذوزنقه با رنگ آبی پر شده است. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
na_13_3_FA,"There are 8 monochrome hexagonal prism in a row and they are filled with blue colors, with colors gradually changing from lighter to darker.",8 منشور شش ضلعی تک رنگ در یک ردیف وجود دارد که با رنگ های آبی پر شده اند و رنگ ها به تدریج از روشن تر به تیره تر تغییر می کنند.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: 8 منشور شش ضلعی تک رنگ در یک ردیف وجود دارد که با رنگ های آبی پر شده اند و رنگ ها به تدریج از روشن تر به تیره تر تغییر می کنند. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: 8 منشور شش ضلعی تک رنگ در یک ردیف وجود دارد که با رنگ های آبی پر شده اند و رنگ ها به تدریج از روشن تر به تیره تر تغییر می کنند. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
na_14_1_FA,"There is a pie chart representing the population proportion of 5 age groups, from 0 to 100 years old. Each group has the same or a similar range, but their population percentages differ. The age group and their proportion are marked in each pie slice.",یک نمودار دایره ای وجود دارد که نشان دهنده نسبت جمعیت 5 گروه سنی، از 0 تا 100 سال است. هر گروه دارای محدوده یکسان یا مشابه است، اما درصد جمعیت آنها متفاوت است. گروه سنی و نسبت آنها در هر برش دایره مشخص شده است.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک نمودار دایره ای وجود دارد که نشان دهنده نسبت جمعیت 5 گروه سنی، از 0 تا 100 سال است. هر گروه دارای محدوده یکسان یا مشابه است، اما درصد جمعیت آنها متفاوت است. گروه سنی و نسبت آنها در هر برش دایره مشخص شده است. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک نمودار دایره ای وجود دارد که نشان دهنده نسبت جمعیت 5 گروه سنی، از 0 تا 100 سال است. هر گروه دارای محدوده یکسان یا مشابه است، اما درصد جمعیت آنها متفاوت است. گروه سنی و نسبت آنها در هر برش دایره مشخص شده است. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
na_8_1_FA,There is a polygon with 3 sides. Each side has a different color.,یک چند ضلعی با 3 ضلع وجود دارد. هر ضلع رنگ متفاوتی دارد.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک چند ضلعی با 3 ضلع وجود دارد. هر ضلع رنگ متفاوتی دارد. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک چند ضلعی با 3 ضلع وجود دارد. هر ضلع رنگ متفاوتی دارد. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
ns_13_1_FA,There are 5 squares on the left side of the canvas and 3 circles on the right side.,5 مربع در سمت چپ بوم و 3 دایره در سمت راست وجود دارد.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: 5 مربع در سمت چپ بوم و 3 دایره در سمت راست وجود دارد. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: 5 مربع در سمت چپ بوم و 3 دایره در سمت راست وجود دارد. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
ns_2_3_FA,5 cubes in the lower left corner of the cuboid.,5 مکعب مربع در گوشه سمت چپ پایین مکعب مستطیل.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: 5 مکعب مربع در گوشه سمت چپ پایین مکعب مستطیل. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: 5 مکعب مربع در گوشه سمت چپ پایین مکعب مستطیل. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
ns_4_4_FA,There is a sphere in the middle of 2 cubes.,یک کره وسط 2 مکعب مربع وجود دارد.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک کره وسط 2 مکعب مربع وجود دارد. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک کره وسط 2 مکعب مربع وجود دارد. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
nsa_12_2_FA,"The box on the left contains 5 white balls, and the box on the right contains 4 green balls and 5 grey balls.",جعبه سمت چپ شامل 5 توپ سفید و جعبه سمت راست شامل 4 توپ سبز و 5 توپ خاکستری است.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: جعبه سمت چپ شامل 5 توپ سفید و جعبه سمت راست شامل 4 توپ سبز و 5 توپ خاکستری است. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: جعبه سمت چپ شامل 5 توپ سفید و جعبه سمت راست شامل 4 توپ سبز و 5 توپ خاکستری است. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
nsa_3_1_FA,"Two parallel line segments are inside a circle, with all of their endpoints on the circle. Mark the endpoints with black dots.",دو پاره خط موازی در داخل یک دایره قرار دارند که تمام نقاط انتهایی آنها روی دایره است. نقاط انتهایی را با نقاط سیاه علامت بزنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: دو پاره خط موازی در داخل یک دایره قرار دارند که تمام نقاط انتهایی آنها روی دایره است. نقاط انتهایی را با نقاط سیاه علامت بزنید. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: دو پاره خط موازی در داخل یک دایره قرار دارند که تمام نقاط انتهایی آنها روی دایره است. نقاط انتهایی را با نقاط سیاه علامت بزنید. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
nsa_8_2_FA,A bar chart with 4 bars and mark the leftmost bar in brown.,یک نمودار میله ای با 4 میله و سمت چپ ترین میله را با رنگ قهوه ای علامت بزنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک نمودار میله ای با 4 میله و سمت چپ ترین میله را با رنگ قهوه ای علامت بزنید. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک نمودار میله ای با 4 میله و سمت چپ ترین میله را با رنگ قهوه ای علامت بزنید. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
